TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
A013601    ,Brownsville Bar Marine Pub,Surrey,11940 Old Yale Rd,-122.89170074,49.20355988,507888.9494818421,5450090.612264993
HCAR-C93N7W,Sirka Gourmet Take Out,Surrey,7182 120th St,-122.89027207,49.13368808,508004.2750171515,5442323.219720248
HCAR-BZ7TNG,Westin Pizza,Surrey,7182 120th St,-122.89011927,49.1336522,508015.4270343689,5442319.247173271
A019941    ,De Dutch Pannekoek House #25,Surrey,7310 120 St,-122.89000702,49.13578796,508023.27059128904,5442556.686866164
SODN-65HUKF,Panago #10,Surrey,8556 120 St,-122.89006805,49.15831757,508015.18404021097,5445061.253707203
SHEN-9YPTKH,Jaipur Indian Cuisine,Surrey,8840 120 St,-122.89006805,49.16398621,508014.26929415844,5445691.427031985
HCAR-CF5TS2,Fresh N Tasty Pizza,Surrey,8910 120th St,-122.89028898,49.16519205,507997.96883245866,5445825.454991927
NDAA-9P9TD5,Taco Time (120th St),Surrey,8942 120 St,-122.89007568,49.16539001,508013.4865241675,5445847.484442698
HCAR-AU9V4X,Hot Millions Pizza & Cafe,Surrey,9200 120 St,-122.89001465,49.17059326,508017.0954705777,5446425.928279867
HCAR-CFEU5S,Pick 'N' Pay Supermarket (120th St),Surrey,9288 120th St,-122.89018864,49.1719891,508004.1878913352,5446581.083369123
HCAR-BRKLJ8,Pizza 24 (Surrey),Surrey,9514 120th St,-122.88986703,49.17605137,508026.9732965368,5447032.714257315
SWOD-A5GVJT,Spice 72 Indian Restaurant & Lounge,Surrey,12025 72 Ave,-122.88969421,49.1342659,508046.3343879935,5442387.51591933
GEDS-6E8Q78,Seahorse Grill,Surrey,12147 Sullivan St,-122.88527679,49.05601501,508381.73055248044,5433689.072700731
A016961    ,LA Matheson Secondary School,Surrey,9484 122 St,-122.88439941,49.17529297,508425.60603915603,5446948.998010536
GEDS-6FCSSR,Martino's Cappuccino and Coffee Bar,Surrey,12211 Beecher St,-122.88368225,49.05259323,508498.811649476,5433308.863589177
A017534    ,Crescent Beach Bistro,Surrey,12251 Beecher St,-122.88240051,49.05282974,508592.4218132056,5433335.299910836
A018553    ,Fong's Eatery,Surrey,12308 Beecher St,-122.88084412,49.05281067,508706.1429553263,5433333.357432
GEDS-6L7TYA,Sunflower Organics & Deli,Surrey,12310 Beecher St,-122.88077545,49.05290222,508711.14434289234,5433343.542585217
GEDS-66K2CZ,Community Access-Arcus Community Resources Food Service,Surrey,12388 Pattullo Pl,-122.87985992,49.20246887,508751.6743284195,5449970.627311181
A017233    ,McDonald's #8550,Surrey,11011 Scott Rd,-122.87916565,49.20265579,508802.2156458537,5449991.487558551
SDFO-8FQQ94,Satnam Education Society of BC,Surrey,10677 124 St,-122.87891388,49.19613647,508821.71534417,5449266.770076207
SHEN-9TFPMS,Barcelos Chicken,Surrey,12499 88 Ave,-122.87666321,49.16335678,508991.6239483593,5445622.959407931
GEDS-5ZZQLL,Great Pizza 2 For 1,Surrey,12578 72 Ave,-122.87416077,49.13327408,509179.6151171029,5442279.02332739
A018906    ,Hillside Lodge Food Service,Surrey,10592 125B St,-122.87371063,49.19553375,509200.90922918974,5449200.3857421875
SDFO-894RT6,Sodexo Food Services - Surrey Campus,Surrey,12666 72 Ave,-122.87132263,49.13362122,509386.5837936693,5442317.961862837
PNEL-8PJRAV,Mughal Garden Sweets & Restaurant,Surrey,12788 76A Ave,-122.86856079,49.14218903,509586.398246212,5443270.772998789
A017427    ,Subway #15577,Surrey,7750 128 St,-122.86765289,49.14358139,509652.3446608623,5443425.674132482
HCAR-BSNLCZ,Mankkhush Vegetarian Pizza and Sweets,Surrey,8120 128th St,-122.86793909,49.15044496,509630.1412808833,5444188.647452984
GEDS-69MQ7C,Vege Garden Pizza & Coffee Shop,Surrey,8383 128 St,-122.86833191,49.15512466,509600.5917218566,5444708.831269493
A019423    ,Grand Taj Banquet Centre,Surrey,8388 128 St,-122.86769867,49.15488815,509646.81039425597,5444682.6193367755
A019043    ,Shagun Sweets (Surrey),Surrey,8388 128 St,-122.86769867,49.15488815,509646.81039425597,5444682.6193367755
A019335    ,New Life Child Care Centre,Surrey,8868 128 St,-122.86780548,49.16375351,509637.3020314832,5445668.152703266
A019000    ,Delrios,Surrey,1669 128 St,-122.86779785,49.03263092,509663.2794831866,5431091.6338346
HCAR-BAEUWY,Sunflower Catering,Surrey,2643 128 St,-122.86760712,49.05052948,509673.74878155295,5433081.369783635
GEDS-7V3R4H,Barney's Pizza & Chicken,Surrey,8140 128 St,-122.86732483,49.15063477,509674.89735633926,5444209.826553067
