TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
A013601    ,Brownsville Bar Marine Pub,11940 Old Yale Rd,Surrey,Restaurant,49.20355988,-122.89170074
HCAR-C93N7W,Sirka Gourmet Take Out,7182 120th St,Surrey,Restaurant,49.13368808,-122.89027207
HCAR-BZ7TNG,Westin Pizza,7182 120th St,Surrey,Restaurant,49.1336522,-122.89011927
A019941    ,De Dutch Pannekoek House #25,7310 120 St,Surrey,Restaurant,49.13578796,-122.89000702
SODN-65HUKF,Panago #10,8556 120 St,Surrey,Restaurant,49.15831757,-122.89006805
SHEN-9YPTKH,Jaipur Indian Cuisine,8840 120 St,Surrey,Restaurant,49.16398621,-122.89006805
HCAR-CF5TS2,Fresh N Tasty Pizza,8910 120th St,Surrey,Restaurant,49.16519205,-122.89028898
NDAA-9P9TD5,Taco Time (120th St),8942 120 St,Surrey,Restaurant,49.16539001,-122.89007568
HCAR-AU9V4X,Hot Millions Pizza & Cafe,9200 120 St,Surrey,Restaurant,49.17059326,-122.89001465
HCAR-CFEU5S,Pick 'N' Pay Supermarket (120th St),9288 120th St,Surrey,Restaurant,49.1719891,-122.89018864
HCAR-BRKLJ8,Pizza 24 (Surrey),9514 120th St,Surrey,Restaurant,49.17605137,-122.88986703
SWOD-A5GVJT,Spice 72 Indian Restaurant & Lounge,12025 72 Ave,Surrey,Restaurant,49.1342659,-122.88969421
GEDS-6E8Q78,Seahorse Grill,12147 Sullivan St,Surrey,Restaurant,49.05601501,-122.88527679
A016961    ,LA Matheson Secondary School,9484 122 St,Surrey,Restaurant,49.17529297,-122.88439941
GEDS-6FCSSR,Martino's Cappuccino and Coffee Bar,12211 Beecher St,Surrey,Restaurant,49.05259323,-122.88368225
A017534    ,Crescent Beach Bistro,12251 Beecher St,Surrey,Restaurant,49.05282974,-122.88240051
A018553    ,Fong's Eatery,12308 Beecher St,Surrey,Restaurant,49.05281067,-122.88084412
GEDS-6L7TYA,Sunflower Organics & Deli,12310 Beecher St,Surrey,Restaurant,49.05290222,-122.88077545
GEDS-66K2CZ,Community Access-Arcus Community Resources Food Service,12388 Pattullo Pl,Surrey,Restaurant,49.20246887,-122.87985992
A017233    ,McDonald's #8550,11011 Scott Rd,Surrey,Restaurant,49.20265579,-122.87916565
SDFO-8FQQ94,Satnam Education Society of BC,10677 124 St,Surrey,Restaurant,49.19613647,-122.87891388
